,artist,album,track_name,popularity,img_url,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,text_data
0,Aditya A,Chaand Baaliyan,Chaand Baaliyan,80,https://i.scdn.co/image/ab67616d0000b273ec4ecaa0fcf68c0966f21514,0.729,0.396,0,-8.98,1,0.0359,0.0,0.104,0.886,97.281,Chaand Baaliyan Aditya A Chaand Baaliyan
1,King,The Carnival,Tu Aake Dekhle,79,https://i.scdn.co/image/ab67616d0000b273e0fc847e272a9bf7a04643da,0.77,0.84,11,-4.022,1,0.107,0.00452,0.145,0.192,96.012,Tu Aake Dekhle King The Carnival
2,Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")","Raataan Lambiyan (From ""Shershaah"")",77,https://i.scdn.co/image/ab67616d0000b273a75c2f26913099a420050f01,0.72,0.63,10,-5.549,1,0.0413,0.0,0.108,0.512,81.009,"Raataan Lambiyan (From ""Shershaah"") Tanishk Bagchi Raataan Lambiyan (From ""Shershaah"")"
3,Various Artists,"Ranjha (From ""Shershaah"")","Ranjha (From ""Shershaah"")",77,https://i.scdn.co/image/ab67616d0000b27309426d9ae9d8d981735ebc5e,0.603,0.573,1,-5.843,1,0.0502,0.0,0.0971,0.236,82.941,"Ranjha (From ""Shershaah"") Various Artists Ranjha (From ""Shershaah"")"
4,Pritam,"Kesariya Audio Teaser (From ""Brahmastra"")","Kesariya Audio Teaser (From ""Brahmastra"")",77,https://i.scdn.co/image/ab67616d0000b273358193d702a21397291432ef,0.56,0.634,0,-8.803,1,0.031,0.00435,0.0983,0.465,94.024,"Kesariya Audio Teaser (From ""Brahmastra"") Pritam Kesariya Audio Teaser (From ""Brahmastra"")"
5,Various Artists,Insane,Insane,76,https://i.scdn.co/image/ab67616d0000b273f26219080879cd317b98ece8,0.796,0.572,8,-7.03,0,0.0545,2.55e-05,0.0975,0.304,98.967,Insane Various Artists Insane
6,Yasser Desai,"Dil Ko Karaar Aaya (From ""Sukoon"")","Dil Ko Karaar Aaya (From ""Sukoon"")",76,https://i.scdn.co/image/ab67616d0000b2739acc843616b7226a85f201db,0.55,0.448,11,-9.117,1,0.0366,0.000459,0.111,0.388,147.986,"Dil Ko Karaar Aaya (From ""Sukoon"") Yasser Desai Dil Ko Karaar Aaya (From ""Sukoon"")"
7,Harrdy Sandhu,Bijlee Bijlee,Bijlee Bijlee,75,https://i.scdn.co/image/ab67616d0000b273ab02d10470adaf555c7d3f9d,0.795,0.67,1,-5.313,0,0.143,0.0,0.0733,0.643,100.004,Bijlee Bijlee Harrdy Sandhu Bijlee Bijlee
8,Pritam,Chhichhore,Khairiyat,74,https://i.scdn.co/image/ab67616d0000b273eaa6b4bfb5954ee5a5a8ce9e,0.534,0.481,0,-9.016,0,0.0412,0.0,0.142,0.293,124.914,Khairiyat Pritam Chhichhore
9,Pav Dharia,Na Ja,Na Ja,74,https://i.scdn.co/image/ab67616d0000b27317f944d8cad77bc712348998,0.772,0.649,2,-6.411,1,0.143,0.0,0.0761,0.824,90.072,Na Ja Pav Dharia Na Ja
